qid,arrival,start,finish,runtime,status
26426,6084.188,6133.3,6170.5,37.19,ok
25934,6056.556,6119.3,6173.6,54.28,ok
8198,6095.944,6170.5,6196.5,25.94,ok
14451,6041.023,6064.6,6196.6,131.97,ok
26673,6111.208,6173.6,6204.0,30.48,ok
18656,6088.749,6143.4,6222.1,78.71,ok
24675,6144.59,6204.0,6233.2,29.11,ok
6388,6159.086,6222.1,6234.2,12.17,ok
25478,6135.025,6196.6,6236.6,40.02,ok
26245,6118.174,6196.5,6258.2,61.63,ok
10073,6202.102,6233.2,6259.0,25.86,ok
26813,6237.838,6258.2,6285.4,27.2,ok
7073,6208.064,6234.2,6294.1,59.86,ok
9547,6252.973,6259.0,6318.5,59.45,ok
17471,6262.335,6285.4,6340.7,55.33,ok
16115,6280.448,6294.1,6342.1,48.02,ok
16495,6222.191,6236.6,6342.2,105.62,ok
15326,6296.163,6358.1,6390.3,32.23,ok
22624,6298.024,6380.3,6405.4,25.09,ok
26144,6383.692,6405.4,6410.7,5.31,ok
11964,6381.841,6390.3,6417.1,26.83,ok
26668,6299.289,6381.8,6434.9,53.07,ok
22566,6399.275,6417.1,6446.1,28.95,ok
26283,6387.707,6422.7,6470.0,47.33,ok
10506,6413.611,6464.3,6497.3,33.07,ok
11778,6458.362,6476.2,6498.3,22.07,ok
5794,6406.656,6453.1,6534.3,81.23,ok
26214,6501.178,6534.3,6542.4,8.1,ok
26353,6298.72,6410.4,6569.2,158.74,ok
25470,6553.127,6569.2,6583.6,14.39,ok
26520,6476.247,6520.1,6604.3,84.14,ok
9421,6487.901,6527.0,6623.7,96.72,ok
25824,6595.995,6610.2,6623.8,13.55,ok
25648,6610.338,6651.7,6671.5,19.77,ok
26486,6652.305,6652.8,6680.9,28.14,ok
15077,6674.808,6680.9,6696.5,15.59,ok
18038,6569.086,6629.8,6710.1,80.34,ok
11439,6678.483,6696.5,6712.9,16.34,ok
14018,6687.306,6710.1,6719.0,8.86,ok
25752,6520.63,6637.5,6770.9,133.4,ok
26243,6757.496,6770.9,6774.4,3.47,ok
2895,6691.346,6775.8,6803.4,27.57,ok
14203,6799.159,6809.8,6831.7,21.84,ok
13640,6698.104,6788.3,6845.8,57.48,ok
11729,6657.227,6740.9,6873.0,132.07,ok
10322,6814.686,6831.7,6876.8,45.12,ok
26710,6764.364,6845.2,6934.3,89.11,ok
15348,6815.623,6894.0,6948.4,54.46,ok
14319,6872.193,6924.9,6961.6,36.71,ok
9618,6916.835,6942.6,6966.5,23.83,ok
25885,6944.353,6961.6,6978.3,16.62,ok
10795,6942.91,6986.5,7032.6,46.13,ok
26263,7016.387,7032.6,7044.0,11.36,ok
7559,6947.928,7004.5,7051.8,47.28,ok
15474,6820.465,6997.7,7111.5,113.68,ok
17875,7017.166,7082.5,7142.5,59.98,ok
26712,7113.853,7142.5,7145.3,2.78,ok
25464,7023.252,7090.4,7146.2,55.85,ok
17970,7117.298,7155.0,7160.3,5.29,ok
26637,7155.98,7164.4,7181.7,17.29,ok
26321,7143.861,7172.6,7198.3,25.62,ok
26165,7169.222,7194.3,7211.8,17.54,ok
3955,6963.232,7089.9,7221.2,131.32,ok
26368,7220.688,7243.3,7261.0,17.61,ok
6836,7198.355,7242.6,7271.5,28.97,ok
26608,7244.001,7261.0,7273.5,12.57,ok
15092,7257.595,7322.4,7347.7,25.31,ok
5216,7090.657,7261.8,7402.9,141.14,ok
10001,7324.52,7390.0,7412.8,22.82,ok
15014,7194.376,7335.0,7437.8,102.79,ok
8925,7401.938,7425.7,7446.3,20.61,ok
15015,7425.969,7449.4,7470.3,20.96,ok
17856,7427.716,7457.9,7473.3,15.39,ok
14569,7390.283,7427.3,7493.6,66.25,ok
11598,7262.466,7391.1,7510.3,119.14,ok
10075,7457.914,7470.3,7510.3,39.92,ok
26818,7503.318,7510.3,7518.4,8.09,ok
10087,7460.035,7473.3,7522.4,49.14,ok
7660,7489.986,7510.3,7535.5,25.21,ok
26752,7510.215,7535.5,7547.2,11.71,ok
14308,7518.411,7547.2,7562.5,15.29,ok
11063,7466.688,7493.6,7566.0,72.37,ok
7587,7521.206,7566.0,7584.7,18.75,ok
12381,7508.182,7522.4,7595.6,73.13,ok
25467,7536.869,7595.6,7654.5,58.91,ok
25527,7550.377,7654.5,7670.6,16.17,ok
5765,7559.4,7670.6,7676.9,6.21,ok
6107,7520.221,7562.5,7687.3,124.81,ok
25804,7563.156,7676.9,7698.1,21.2,ok
26327,7577.478,7687.3,7708.7,21.43,ok
25445,7530.126,7584.7,7715.3,130.6,ok
14342,7632.878,7708.7,7733.4,24.66,ok
25715,7654.397,7733.4,7748.0,14.57,ok
26281,7649.012,7715.3,7752.4,37.12,ok
26324,7669.862,7764.1,7772.8,8.68,ok
15149,7596.966,7734.0,7804.1,70.05,ok
4291,7796.954,7804.1,7814.1,10.05,ok
11822,7670.337,7788.4,7834.4,46.06,ok
11555,7768.765,7792.6,7840.3,47.6,ok
26783,7825.694,7840.3,7849.1,8.83,ok
26115,7503.556,7573.9,7878.3,304.47,ok
5794,7805.288,7833.7,7897.2,63.54,ok
15326,7834.487,7868.6,7903.8,35.09,ok
15474,7807.001,7854.0,7916.5,62.38,ok
25937,7874.748,7897.2,7924.2,26.99,ok
25885,7893.865,7924.2,7939.7,15.5,ok
26508,7868.916,7878.3,7967.9,89.61,ok
25712,7925.75,7967.9,7970.8,2.87,ok
15150,7877.156,7903.8,7979.4,75.69,ok
25435,7907.07,7939.7,7994.2,54.52,ok
26439,7951.831,7994.2,8010.3,16.12,ok
26022,7946.59,7979.4,8011.1,31.65,ok
11439,7970.832,8011.1,8026.5,15.42,ok
26368,7994.465,8026.5,8040.7,14.16,ok
26425,7996.288,8040.7,8056.0,15.29,ok
26787,7879.18,7916.5,8066.5,150.0,ok
15010,7932.943,7970.8,8079.5,108.64,ok
26321,8043.758,8072.7,8095.2,22.54,ok
7488,7962.395,8016.6,8108.4,91.79,ok
26660,8085.872,8114.0,8137.0,22.93,ok
11082,8055.78,8104.5,8158.5,53.98,ok
25629,8127.157,8137.0,8182.9,45.98,ok
17922,8012.238,8081.0,8203.0,122.04,ok
26243,8169.153,8203.0,8206.5,3.46,ok
26517,8188.771,8206.5,8208.5,2.07,ok
25464,8135.169,8158.5,8211.4,52.95,ok
23711,8094.306,8127.1,8231.4,104.28,ok
10073,8194.393,8227.4,8255.0,27.57,ok
25968,8204.427,8258.1,8274.1,15.94,ok
25824,8250.481,8262.8,8279.3,16.51,ok
26496,8267.896,8274.1,8298.3,24.17,ok
6107,8161.522,8209.6,8338.5,128.89,ok
5765,8280.314,8338.5,8343.4,4.91,ok
12518,8200.014,8238.1,8362.8,124.71,ok
26025,8278.975,8298.3,8389.0,90.73,ok
6373,8316.262,8389.0,8399.6,10.65,ok
7073,8288.795,8343.4,8408.3,64.9,ok
7565,8309.268,8362.8,8431.8,68.96,ok
26067,8366.349,8431.8,8451.6,19.83,ok
17471,8318.353,8399.6,8484.7,85.06,ok
26522,8277.541,8279.3,8525.7,246.4,ok
9614,8403.287,8525.7,8540.9,15.17,ok
4383,8434.312,8540.9,8549.0,8.03,ok
15697,8395.351,8484.7,8555.7,70.95,ok
25714,8476.798,8549.0,8567.0,18.09,ok
