qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
25435,4086.206,4205.5,4231.0,25.44,ok,4.592,4.592,3.246
11769,4209.83,4224.4,4238.4,14.04,ok,0.301,0.305,0.283
9057,3929.616,4070.0,4247.9,177.86,ok,0.65,0.65,0.625
11482,4210.997,4236.1,4254.4,18.27,ok,4.038,4.038,3.645
17168,4233.813,4248.2,4296.1,47.94,ok,0.948,0.948,0.925
25384,4238.432,4257.6,4305.9,48.35,ok,1.307,1.307,1.245
23711,4157.253,4219.3,4320.2,100.94,ok,0.457,4.539,4.524
26112,4267.905,4296.1,4324.9,28.7,ok,0.65,0.65,0.562
26660,4284.735,4324.9,4352.7,27.81,ok,0.727,0.727,0.592
25425,4261.93,4352.7,4368.0,15.32,ok,0.874,0.874,0.548
10319,4253.075,4259.0,4400.2,141.19,ok,0.46,0.46,0.457
26210,4357.193,4368.1,4407.5,39.42,ok,0.623,0.623,0.59
25631,4260.674,4306.0,4413.8,107.76,ok,0.629,0.629,0.499
26256,4399.997,4407.5,4440.2,32.69,ok,1.121,1.121,1.079
13805,4411.678,4413.8,4453.8,39.96,ok,1.103,1.103,1.091
7488,4430.105,4440.2,4496.7,56.46,ok,0.805,0.805,0.764
18011,4447.405,4496.7,4503.0,6.29,ok,1.012,1.012,0.786
25320,4426.092,4503.1,4531.6,28.56,ok,1.225,1.225,0.826
26787,4389.957,4400.2,4569.3,169.06,ok,0.7,0.7,0.664
26522,4296.176,4320.2,4585.9,265.62,ok,0.403,0.403,0.356
25882,4578.451,4586.0,4610.2,24.21,ok,0.517,0.517,0.497
10109,4456.358,4531.7,4633.9,102.2,ok,1.091,1.091,0.742
26025,4556.536,4569.4,4648.1,78.71,ok,0.653,0.653,0.612
26456,4619.221,4634.1,4649.6,15.5,ok,0.137,0.137,0.127
15243,4342.408,4648.3,4671.1,22.84,ok,1.491,1.491,0.311
25397,4452.487,4453.8,4694.7,240.92,ok,0.412,0.412,0.41
25783,4565.045,4671.3,4705.5,34.25,ok,0.767,0.767,0.445
10653,4457.779,4649.7,4707.1,57.32,ok,1.193,1.193,0.446
12050,4559.265,4707.2,4710.3,3.1,ok,1.06,1.06,0.497
25871,4554.947,4710.5,4731.2,20.68,ok,1.127,1.127,0.508
25344,4660.684,4705.7,4734.0,28.26,ok,0.595,0.595,0.473
4291,4571.793,4734.1,4752.5,18.36,ok,1.122,1.122,0.488
26810,4536.692,4752.6,4762.4,9.79,ok,1.382,1.382,0.457
26067,4712.569,4731.4,4770.6,39.24,ok,0.36,0.36,0.328
26005,4599.067,4694.9,4775.0,80.13,ok,0.497,0.497,0.304
26805,4636.213,4775.2,4788.1,12.93,ok,0.82,0.82,0.402
10543,4515.262,4610.4,4788.1,177.76,ok,0.9,0.9,0.553
4741,4591.101,4762.6,4808.9,46.3,ok,1.073,1.073,0.445
13458,4622.108,4788.4,4810.8,22.35,ok,0.928,0.928,0.396
25968,4564.604,4810.9,4824.8,13.87,ok,1.2,1.2,0.34
25498,4570.926,4824.9,4875.1,50.16,ok,1.191,1.191,0.324
15049,4586.901,4809.0,4890.2,81.17,ok,0.97,0.97,0.311
26658,4703.338,4788.3,4905.8,117.53,ok,0.612,0.612,0.396
15832,4643.445,4890.3,4914.7,24.39,ok,1.054,1.054,0.297
26783,4616.243,4905.9,4917.4,11.46,ok,1.239,1.239,0.281
6373,4688.1,4917.5,4936.7,19.25,ok,1.32,1.32,0.407
4383,4729.056,4936.8,4945.4,8.56,ok,1.095,1.095,0.377
25629,4671.011,4875.2,4955.1,79.91,ok,0.805,0.805,0.283
25545,4900.409,4914.7,4966.6,51.83,ok,0.427,0.427,0.397
26496,4763.432,4945.5,4970.2,24.73,ok,0.919,0.919,0.361
17817,4772.821,4966.6,4988.9,22.21,ok,1.138,1.138,0.421
5114,4789.773,4955.2,4989.8,34.61,ok,0.898,0.898,0.385
8569,4834.495,4989.9,5013.6,23.71,ok,1.284,1.284,0.579
4399,4790.924,4988.9,5028.8,39.81,ok,1.21,1.21,0.438
12849,4684.137,4770.8,5037.3,266.52,ok,0.665,0.665,0.427
