query_order,qid,arrival_time_s,estimated_runtime_s
911,10916,22054.22,64.65
912,7107,22079.914,29.1
913,9553,22082.727,38.84
914,6618,22109.047,57.26
915,10742,23319.888,3.82
916,13250,23344.783,9.32
917,25759,23368.834,8.24
918,12431,23444.845,3.52
919,25412,23457.368,60.0
920,10412,23460.82,4.12
921,10664,23517.593,41.25
922,25541,23517.772,21.75
923,12054,23518.057,82.77
924,22951,23518.086,18.24
925,14194,23519.298,4.02
926,6917,23519.76,2.92
927,7392,23529.684,7.22
928,25305,23535.112,25.04
929,25336,23541.696,11.83
930,5543,23551.123,5.02
931,13307,23558.653,7.42
932,19434,23567.056,30.64
933,10738,23576.325,17.73
934,14381,23576.668,2.92
935,11235,23586.319,3.52
936,18604,23592.842,17.62
937,15889,23593.608,7.6
938,25641,23605.287,8.73
939,10406,23616.41,16.63
940,4690,23625.73,3.42
941,12915,23625.922,12.62
942,25261,23626.048,18.33
943,13925,23626.141,66.34
944,6383,23631.653,17.33
945,14132,23632.02,12.93
946,10872,23632.471,4.52
947,14464,23650.063,60.66
948,10833,23656.019,71.67
949,9844,23658.733,53.73
950,13839,23679.647,9.94
951,25736,23685.471,23.64
952,12293,23685.809,148.82
953,11703,23698.293,106.4
954,9157,23707.544,21.23
955,13912,23724.664,2.92
956,9669,23741.666,2.72
957,25518,23761.411,9.63
958,11753,23761.585,102.89
959,4676,23768.873,4.72
960,25712,23771.509,16.34
961,10088,23772.518,3.22
962,7175,23772.802,62.36
963,4745,23791.381,3.62
964,13093,23792.197,17.73
965,24380,23807.395,72.65
966,15678,23838.598,4.22
967,12370,23855.257,88.99
968,15046,23876.951,8.63
969,9752,23893.443,4.42
970,25530,23915.683,49.39
971,25385,23929.692,78.48
972,25577,23938.438,12.04
973,12125,23944.633,41.25
974,19920,23948.73,3.72
975,10243,23957.825,3.72
976,25251,23971.658,5.92
977,17190,23981.036,4.12
978,12473,23991.6,2.92
979,12343,24019.485,22.82
980,10848,24028.941,2.02
981,10274,24040.405,5.62
982,10319,24054.738,30.14
983,15078,24063.759,47.65
984,24675,24075.733,15.3
985,10808,24092.18,102.59
986,18997,24164.611,17.13
987,7520,24173.129,19.34
