qid,arrival,start,finish,runtime,status,predicted_slowdown
11769,4209.83,4238.1,4289.0,50.86,ok,15.092
9057,3929.616,4097.4,4300.9,203.45,ok,7.167
25384,4238.432,4252.8,4326.0,73.11,ok,13.139
17168,4233.813,4257.5,4353.4,95.89,ok,18.143
25425,4261.93,4291.1,4364.8,73.67,ok,8.212
26112,4267.905,4319.7,4407.4,87.71,ok,7.578
26660,4284.735,4330.4,4414.3,83.89,ok,8.492
23711,4157.253,4257.9,4418.3,160.46,ok,21.776
15243,4342.408,4386.1,4450.2,64.11,ok,13.349
10319,4253.075,4304.5,4485.3,180.8,ok,9.42
26210,4357.193,4397.4,4488.3,90.84,ok,8.59
25631,4260.674,4350.0,4499.5,149.57,ok,7.725
13805,4411.678,4426.0,4512.8,86.76,ok,7.078
25320,4426.092,4450.3,4531.0,80.73,ok,6.533
26256,4399.997,4422.0,4547.1,125.05,ok,6.201
7488,4430.105,4488.4,4590.1,101.63,ok,5.485
26787,4389.957,4415.1,4636.0,220.85,ok,6.331
18011,4447.405,4512.8,4642.1,129.26,ok,6.024
26522,4296.176,4375.0,4664.6,289.6,ok,5.553
10653,4457.779,4531.1,4690.6,159.5,ok,5.877
10109,4456.358,4499.7,4706.6,206.92,ok,5.96
26456,4619.221,4636.4,4723.5,87.14,ok,3.813
25783,4565.045,4642.5,4751.8,109.32,ok,3.636
25871,4554.947,4691.2,4773.4,82.17,ok,3.493
25882,4578.451,4665.1,4774.5,109.37,ok,4.034
10543,4515.262,4547.1,4784.8,237.64,ok,5.181
26025,4556.536,4590.4,4787.8,197.32,ok,5.573
26810,4536.692,4707.1,4788.4,81.35,ok,3.063
12050,4559.265,4724.1,4789.6,65.55,ok,2.909
25968,4564.604,4775.3,4805.8,30.46,ok,2.63
25397,4452.487,4485.5,4808.3,322.79,ok,4.272
15832,4643.445,4752.4,4814.3,61.89,ok,2.906
4291,4571.793,4788.3,4821.3,33.04,ok,2.132
13458,4622.108,4785.4,4825.3,39.94,ok,2.497
26783,4616.243,4790.1,4837.6,47.54,ok,3.112
26805,4636.213,4788.9,4839.5,50.59,ok,2.945
6373,4688.1,4806.3,4844.4,38.16,ok,3.163
17817,4772.821,4808.7,4857.3,48.53,ok,2.69
26005,4599.067,4814.7,4877.5,62.76,ok,2.753
25498,4570.926,4774.8,4890.3,115.49,ok,2.401
4741,4591.101,4825.7,4901.7,76.06,ok,4.126
4383,4729.056,4857.5,4912.2,54.66,ok,4.708
25344,4660.684,4839.8,4926.1,86.36,ok,4.326
26067,4712.569,4877.7,4937.8,60.06,ok,4.491
15049,4586.901,4821.7,4952.2,130.48,ok,4.493
26496,4763.432,4901.9,4966.2,64.25,ok,4.767
25629,4671.011,4838.0,4990.8,152.79,ok,5.065
5114,4789.773,4912.4,4996.7,84.25,ok,5.129
4399,4790.924,4937.9,5010.5,72.61,ok,4.362
8569,4834.495,4952.3,5024.3,71.98,ok,4.577
25545,4900.409,4966.3,5045.2,78.95,ok,5.578
15697,4777.909,4978.4,5122.2,143.83,ok,4.812
14674,4954.805,5049.0,5131.5,82.55,ok,6.329
11082,4905.741,5043.0,5141.9,98.9,ok,6.196
14051,4986.938,5062.7,5147.7,84.98,ok,5.972
26658,4703.338,4942.6,5158.3,215.64,ok,4.056
9876,5097.57,5122.2,5174.3,52.03,ok,8.045
12982,5126.364,5131.6,5189.0,57.44,ok,7.914
12849,4684.137,4896.8,5211.2,314.42,ok,5.171
11810,5135.26,5142.0,5213.6,71.63,ok,8.645
9000,5141.93,5147.8,5229.5,81.7,ok,5.172
11968,4972.388,5097.4,5241.3,143.95,ok,10.134
12518,4981.543,5076.5,5251.4,174.91,ok,10.637
8812,5147.192,5158.3,5265.4,107.1,ok,10.753
13237,5192.131,5255.3,5336.8,81.55,ok,8.916
14904,5199.689,5289.1,5365.1,75.99,ok,6.948
25577,5199.811,5277.3,5377.3,100.0,ok,9.051
26414,5165.215,5272.2,5402.0,129.86,ok,7.228
26508,5165.548,5273.2,5431.5,158.31,ok,9.108
7609,5128.056,5274.9,5452.0,177.07,ok,14.337
25279,5229.855,5351.9,5505.3,153.33,ok,7.877
17034,5252.452,5366.0,5506.6,140.68,ok,8.913
12305,5343.192,5430.1,5519.7,89.54,ok,12.063
12343,5447.942,5452.0,5528.0,75.97,ok,10.281
12102,5479.859,5505.4,5535.0,29.55,ok,7.761
26240,5425.517,5447.9,5546.9,98.97,ok,12.722
11555,5390.532,5441.8,5553.7,111.92,ok,6.801
25977,5363.7,5417.9,5561.1,143.17,ok,6.422
26749,5306.97,5395.9,5570.3,174.4,ok,9.213
11822,5487.35,5506.8,5585.8,79.04,ok,6.923
26294,5483.023,5535.1,5599.1,64.03,ok,6.979
11512,5547.496,5553.8,5610.4,56.62,ok,14.274
14438,5549.702,5561.2,5613.1,51.92,ok,7.985
17332,5476.152,5519.8,5628.2,108.41,ok,6.266
25585,5566.047,5585.9,5644.2,58.27,ok,6.277
